,created_date,tweets,sentiment
0,2019-05-06,Buffett Indicator ?,Neutral
1,2019-05-06,Interview One Top Fintech Investment Firms Country,Positive
2,2019-05-06,"Top Ideas 2019 Sohn Conference : AerCap , Cigna , 3M , Zillow $ AER $ GATX $ MMM $ CC $ ZG $ RETA $ UBX…",Positive
3,2019-05-06,Activist Investor Mick McGuire Opposes Acreage-Canopy Growth Deal $ ACRGF $ CGC,Neutral
4,2019-05-06,"Electronic Arts Analyst Stays Neutral Ahead Q4 Report , Says Upcoming 'Star Wars ' Title 'Pivotal ' $ EA",Positive
5,2019-05-06,Technical Bottom ? Chart Paints Bullish Picture AMD $ AMD,Neutral
6,2019-05-06,Mooch Gen. John Kelly Reunite # SALT2019,Neutral
7,2019-05-06,Axsome Shares Rally FDA OKs Expedited Regulatory Filings Depression Drug $ AXSM,Neutral
8,2019-05-06,"Chat CSO Grown Rogue , 'Seed-To-Experience Multistate Cannabis Operator ' $ NVSIF",Neutral
9,2019-05-06,Golden Dividend ETF $ VIG,Positive
10,2019-05-06,2019 Kentucky Derby : One History Books $ CHDN,Neutral
11,2019-05-06,Parsons IPO : Need Know $ PSN,Neutral
12,2019-05-06,'Game Thrones ' Viewers Spot Starbucks Cup Winterfell $ SBUX $,Negative
13,2019-05-06,Barron 's : Investing Coming Wave Millennial Spending $ HD $ NKE,Neutral
14,2019-05-06,Report : China Wants Piece CBD Market,Positive
15,2019-05-06,Wall Street Weighs Tesla 's Capital Raise $ TSLA,Neutral
16,2019-05-06,"RT @ JavierHasse : Two years ago , wrote @ Benzinga # Cannabis : * Public Marijuana Companies Using Stock Make Acquisitions : D…",Neutral
17,2019-05-06,Tim Cook Warren Buffett : ' n't Think 's Better Teacher ' $ AAPL $ BRK.A,Positive
18,2019-05-06,UBS Says Alphabet 'Well-Positioned ' Local Ads $ GOOG $ GOOGL,Neutral
19,2019-05-06,"Pacer Expands Cash Cows , Trendpilot ETF Lineups $ BIL $ PTIN $ COWZ",Neutral
20,2019-05-06,WSJ : Boeing Failed Disclose Known Safety Alert Problem $ BA,Negative
21,2019-05-06,Small-Cap Biotech Esperion Surges FDA Acceptance Cholesterol Drug Applications $ ESPR,Neutral
22,2019-05-06,Lyft Options Trader Makes Bullish Bet Ahead Earnings $ LYFT,Neutral
23,2019-05-06,RT @ Spus : missed today @ Benzinga # PreMarket Prep Show # BFTD still tact (,Neutral
24,2019-05-06,Milestone Pharma IPO : Need Know $ MIST,Neutral
25,2019-05-06,Earnings Update -,Neutral
26,2019-05-06,Fire Stoked US-China Trade War : Experts Reacting,Neutral
27,2019-05-06,# OTD Market History : English Channel Tunnel Connects France England,Neutral
28,2019-05-06,Sell May ? Data Says Fast $ SPX $ SPY,Positive
29,2019-05-06,Pre-Market Activity : Need Know -,Neutral
30,2019-05-06,Marvell Buys Aquantia $ 450M Deal $ AQ $ MRVL,Neutral
31,2019-05-06,26 Stocks Moving Monday 's Pre-Market Session $ ESPR $ SBGI $ SAEX $ AXSM $ ZYNE $ BHC $ CYTK $ PHUN $ BZUN $ SY $ SCPL,Neutral
32,2019-05-06,RT @ JasonShubnell : most-read story last week : Need Know Beyond Meat IPO $ BYND @ eabalboa :,Neutral
33,2019-05-06,"Bulls & amp ; Bears Week : Apple , Disney , GE , Sprint $ AAPL $ CTSH $ DIS $ GE $ $ ZNGA $ $ GOOGL",Neutral
34,2019-05-06,Under Armour Analysts React Fifth Beat-And-Raise Quarter ; Footwear Growth Finally Bright Spot $ UAA,Positive
35,2019-05-06,Barron 's : Investing Coming Wave Millennial Spending $ HD $ NKE,Neutral
36,2019-05-06,IPO Outlook Week : Uber ( 11 Others ) $ UBER $ APLT $ AXLA $ CRTX $ PSN $ MIST $ HHR $ MEC $ NXTC $ SPFI $ PSTL $ SONM,Neutral
37,2019-05-06,Edison Research Sees $ 140B Potential Cannabis $ GWPH,Neutral
38,2019-05-05,"Week Ahead Biotech : Conferences , Clinical Trial Readouts , Earnings IPOs $ IBB $ XBI",Neutral
39,2019-05-05,"Barron 's Picks Pans : Burlington Stores , Nike , Occidental Petroleum , Uber $ BURL $ HD $ NKE $ OXY $ UBER",Neutral
40,2019-05-05,Analysts Overwhelmingly Bullish Outdoor Brand Yeti ; Company Eyes International Growth $ YETI,Positive
41,2019-05-05,"Week Cannabis : Curaleaf Buys Cura Partners , Canopy Buys C3 , Organigram Applies Nasdaq Listing $ CGC…",Neutral
42,2019-05-04,Rapid changes taking place across blockchains digital assets means 's endless amount indus…,Negative
43,2019-05-04,2019 # KentuckyDerby Preview : Maximum Security Name,Neutral
44,2019-05-04,RT @ Benzinga : Warren Buffett told CNBC `` one fellows '' office bought stake Amazon . stock up 3 % today . $ AMZN Full s…,Positive
