,created_date,tweets,sentiment
0,2019-05-07,@ cre8factory Texas !,Neutral
1,2019-05-07,Wait ...,Neutral
2,2019-05-06,@ diogeron try ! Headed Antone ‘,Neutral
3,2019-05-06,@ jw8c,Neutral
4,2019-05-06,@ BillWinterberg ’ getting !,Neutral
5,2019-05-06,Austin AF,Neutral
6,2019-05-06,Closing HOD,Neutral
7,2019-05-06,@ DSutton1986,Neutral
8,2019-05-06,"favorite thing Dimensional Funds HQ Austin Heritage Matrix , amazing artifacts firm ’ s…",Positive
9,2019-05-06,@ BlairHduQuesnay Thx mommy !,Neutral
10,2019-05-06,RT @ ritholtz : Off,Neutral
11,2019-05-06,Saving America trade wars,Neutral
12,2019-05-06,tariff tweet hit,Neutral
13,2019-05-06,Michael Ben new thing called “ Rekindled ” podcast revisit best finance book…,Positive
14,2019-05-06,"Today 2004 , ‘ Friends ’ says goodbye",Neutral
15,2019-05-06,behind scenes stuff sho_billions set . cast crew amazing . Special thx friend…,Positive
16,2019-05-06,Last night learned ’ Starbucks Winterfell,Neutral
17,2019-05-06,@ JasonRaznick @ ScottWapnerCNBC Thx Jason ! ’ craft,Neutral
18,2019-05-06,"RT @ JasonRaznick : Unreal job @ ReformedBroker & amp ; @ ScottWapnerCNBC , best since Icahn & amp ; Ackman !",Positive
19,2019-05-06,RT @ awealthofcs : Watching Josh share screen w/Nicholas Brody Billions amazing,Positive
20,2019-05-06,Whole firm Austin ready screen @ SHO_Billions !,Positive
21,2019-05-05,Oh forget - @ lewis_damian @ AsiaKateDillon nicest people ever . Lots patience and…,Neutral
22,2019-05-05,saying definitely ’ want miss ⁦ @ SHO_Billions⁩ tonight ! 9pm ET # billions # axecap ⁦…,Neutral
23,2019-05-05,RT @ nbcsnl : Ending night @ AdamSandler 's tribute Chris Farley . # SNL,Neutral
24,2019-05-05,@ AndrewTollemach ’ floating,Neutral
25,2019-05-05,"swag bags whole mafia descend Austin , TX corporate retreat . ’ teaching bbq…",Positive
26,2019-05-05,@ Dutch_Book,Neutral
27,2019-05-05,Planes taking off ’ want hold onto putting,Neutral
28,2019-05-05,@ diogeron Lol half court even,Positive
29,2019-05-05,book buy graduation gift . brainer . Guac Extra : Reluctant Adult 's Handb…,Positive
30,2019-05-05,Twenties n't Trash Fire !,Neutral
31,2019-05-05,Charlie Munger Commission-Based Brokers Bankers,Neutral
32,2019-05-05,Wait ... ?,Neutral
33,2019-05-05,"Warriors stunned non-call Harden , literally forget dunk play defense . hilario…",Neutral
34,2019-05-05,@ PermaBull4 best,Positive
35,2019-05-05,@ steviegr1187,Neutral
36,2019-05-04,"Crazy Rich Asians , otherwise fantastic film , wants us believe wealthiest scion Singapore would wear…",Positive
37,2019-05-04,Week TRB,Neutral
38,2019-05-04,really ’ see anything stopping Paris Hilton next President United States .,Positive
39,2019-05-04,"top posts site week , thanks reading ! great weekend everyone ! …",Positive
40,2019-05-04,Q : think women invest differently men ? Buffett : ’ think so…both sisters loaded up Berkshire Hathaway . LOL,Positive
41,2019-05-04,cool - Warren Buffett made surprise appearance women ’ investing conference happening across tow…,Positive
42,2019-05-04,Tyson Foods 6.5 % stake Beyond Meats kind sort pushed sell out right IPO…,Positive
43,2019-05-04,Also thing SciFi SciFact getting closer closer time - think wheneve…,Neutral
44,2019-05-04,Stop everything ’ listen incredible discussion @ wolfejosh @ patrick_oshag - p…,Positive
