,created_date,tweets,sentiment
0,2019-05-06,Warren Buffett missing market 's hottest tech stocks,Negative
1,2019-05-06,Warren Buffett feels worse missing Google Amazon,Negative
2,2019-05-06,Warren Buffett values life : 'It 's two things ca n't buy ',Neutral
3,2019-05-06,"Buffett America 's economy , capitalism : 'It works '",Neutral
4,2019-05-06,"RT @ YahooFinance : Highlight : `` naive [ ] presume going easy deal , '' @ Yale 's @ SSRoachUSChina says Trump threat…",Positive
5,2019-05-06,tariff increase would slow US 'rise dominance ' 5G race,Negative
6,2019-05-06,"RT @ YahooFinance : Highlight : `` economy booms sometimes , sometimes n't , '' Charlie Munger says . `` live life thr…",Positive
7,2019-05-06,Warren Buffett n't practice preaches index investing,Neutral
8,2019-05-06,Warren Buffett 's hints future stock buybacks could good news investors,Positive
9,2019-05-06,"RT @ YahooFinance : Highlight : `` seem close resolution global trade war remains elusive , '' Whittier Trust CIO Sand…",Neutral
10,2019-05-06,RT @ YahooFinance : Highlight : `` big question happens negotiations scheduled start Wednesday ? '' @ jessicaasmith…,Neutral
11,2019-05-06,Corporate America prepared Trump ’ 25 % tariffs China,Neutral
12,2019-05-06,U.S.-China relations 'will running sore ',Neutral
13,2019-05-06,billionaires sounding off income inequality,Neutral
14,2019-05-06,'s Microsoft shaping future office,Neutral
15,2019-05-06,Congress getting ready criminalize robocalls,Positive
16,2019-05-06,Highlight : Harness Wealth CEO @ DavidSniderHW details biggest mistakes people make tech stocks : `` . 1…,Neutral
17,2019-05-06,Highlight : $ DIS Call Day UBS raises price target . `` Guess 's thing people watch…,Neutral
18,2019-05-06,"Highlight : `` big thing Slack going integrate multiple apps , '' @ danielhowley says about…",Neutral
19,2019-05-06,Highlight : Former Mythbusters co-Host @ donttrythis turning ideas reality : `` ’ taking consistent ste…,Positive
20,2019-05-06,"Highlight : `` seems like every days , hear news reports Boeing 's procedures flaws within…",Neutral
21,2019-05-06,might hitting acceleration phase bull market,Neutral
22,2019-05-06,Stocks pare losses following reports China 's delegation head U.S .,Neutral
23,2019-05-06,"Highlight : `` 's reporting delegation coming ... trade talks smaller originally planned , '' …",Positive
24,2019-05-06,"Amid student debt surge , debate over whether $ 1.5T crisis 'peanuts '",Neutral
25,2019-05-06,"Highlight : `` Small business owners looking hire , '' Bank America 's Head Small Business Sharon Miller says…",Negative
26,2019-05-06,Chinese delegation come US trade talks Trump tariff threat,Neutral
27,2019-05-06,Trump threatened tariffs hearing Chinese reversal,Neutral
28,2019-05-06,Starbucks ' China rival Luckin seeks raise up $ 586.5 million IPO,Neutral
29,2019-05-06,"Highlight : CFRA Research Analyst Cathy Seifert describes $ BRK Q1 earnings `` pretty tepid , '' adding `` p…",Positive
30,2019-05-06,China trade deal really 'the fight global dominance ',Positive
31,2019-05-06,Economist John Taylor : Interest rates go around 3 %,Neutral
32,2019-05-06,Trump may flipped bird Powell slashing interest rates,Neutral
33,2019-05-06,"Highlight : `` President Trump kind throwing curveball , past , '' Peterson Institute Senior Fell…",Positive
34,2019-05-06,"Banks tighten standards commercial real estate , credit card loans",Positive
35,2019-05-06,billionaires sounding off income inequality,Neutral
36,2019-05-06,"Highlight : “ Heinz Ketchup stronger brand Kraft cheese paid , ” Charlie Munger says abo…",Neutral
37,2019-05-06,"Highlight : “ startup league , need make easy watch game broadcast television a…",Positive
38,2019-05-06,Highlight : Lead Edge Capital Managing Partner Mitchell Green Uber IPO : “ think going lot o…,Negative
39,2019-05-06,Trump 's China tariff threats depress investors,Negative
40,2019-05-06,Charlie Munger : 's 'stark raving madness ' U.S. China friends,Negative
41,2019-05-06,Listen Warren Buffett Charlie Munger 2019 Berkshire Hathaway Annual Shareholders Meeting entir…,Neutral
42,2019-05-06,"Highlight : “ China lose , ” says author “ Coming Collapse China ” @ GordonGChang United Stat…",Neutral
43,2019-05-06,Microsoft shaping future office,Neutral
44,2019-05-06,successfully transition mom mode work mode commute,Positive
45,2019-05-06,Highlight : Calls cut Medicaid Medicare `` reason Medicare nearly irrational to…,Positive
46,2019-05-06,"RT @ gurugk : Following @ YahooFinance ’ livestream 2019 Berkshire Hathaway annual shareholders meeting , @ serwer sat down exclu…",Negative
47,2019-05-06,Highlight : @ CLSInvestments CIO @ RustyVanneman # BRK19 : Warren comments `` Charlie usually comes one-s…,Negative
48,2019-05-06,Highlight : `` think ’ surprised well Warren [ Buffett ] capable stepping back w…,Positive
49,2019-05-06,"Highlight : `` 's fair say trade war China alone n't going bring U.S. economy knees , '' …",Positive
50,2019-05-06,"Highlight : `` n't think trade issue going end , even get agreement , 's something one…",Neutral
51,2019-05-06,Highlight : `` company characterizing qualitative misstatements ... necessarily quantitati…,Neutral
52,2019-05-06,Highlight : @ AGF 's Greg Valliere U.S.-China : `` think got two-yard line could n't finalize a…,Neutral
53,2019-05-06,"Highlight : “ Elon Musk asking attention , ” says @ heidi_chung letter sent Tesla emp…",Neutral
54,2019-05-06,"Highlight : `` running world , Tim Sloan would still CEO Wells Fargo , '' says Berkshire Hathaway…",Neutral
55,2019-05-06,"Highlight : `` first time Boeing saying AOA indicators ’ function , '' …",Positive
56,2019-05-06,makeup artist literally makes body work art :,Neutral
57,2019-05-06,"Highlight : `` Chevron really needs , '' says @ heidi_chung Occidental trying outbid Chevron ’ previous bid for…",Positive
58,2019-05-06,$ 40 billion liquor giant bullish cannabis,Neutral
59,2019-05-06,"Highlight : ” ’ really fight global dominance technology trade , ” says Cresset Capital Chief Investme…",Positive
