,created_date,tweets,sentiment
0,2019-05-06,@ passytee @ michaelbatnick Thank !,Neutral
1,2019-05-06,@ bucketshopper Probably every 3 weeks . lot work anticipated,Neutral
2,2019-05-06,“ business sell product make money without worry product performs going…,Neutral
3,2019-05-06,RT @ michaelbatnick : Recording secured,Neutral
4,2019-05-06,@ RampCapitalLLC @ michaelbatnick gets cancelled out high price drinks hotel bar,Positive
5,2019-05-06,@ chriseberly @ michaelbatnick . missed one,Neutral
6,2019-05-06,@ AlgoBogeyman @ michaelbatnick Much appreciated,Positive
7,2019-05-06,@ LVDTrades Thank !,Neutral
8,2019-05-06,@ otis @ michaelbatnick @ ReformedBroker like idea . Would shorter fun talk,Positive
9,2019-05-06,RT @ RitholtzWealth : Re-Kindled : Big Short @ michaelbatnick @ awealthofcs take second look Michael Lewis ' acclaimed book ( Ac…,Neutral
10,2019-05-06,@ KeithBean21 Yeah good one,Positive
11,2019-05-06,@ MrSteveWebb Thanks !,Positive
12,2019-05-06,@ LoroAsh @ michaelbatnick,Neutral
13,2019-05-06,@ billsweet LIKED BIRDS COOL ! EAR GROUND !,Positive
14,2019-05-06,@ _AreaDan much dragon food ? ? ? ?,Positive
15,2019-05-06,@ RippleyManhaus Thanks listening !,Positive
16,2019-05-06,: like consider something contrarian Also : ooooh 36 ppl highlighted passage Kindle.…,Neutral
17,2019-05-06,@ WBPetersen Well investors losing money 2006 ...,Neutral
18,2019-05-06,Re-Kindled : Big Short discuss : -Is GOAT finance book ? -Why 's hard stick w/huge winning t…,Positive
19,2019-05-06,@ WBPetersen thanks bill . makes sense,Positive
20,2019-05-06,@ IarocciDave Bran Steve Kerr ?,Neutral
21,2019-05-06,@ Dumb_Beta @ michaelbatnick Still discussing potentially intelligent investor,Positive
22,2019-05-06,@ Dumb_Beta @ michaelbatnick yep tomorrow morning . fun re-hashing one,Positive
23,2019-05-06,point Khaleesi Game Thrones Kevin Durant wanting play Knicks Wins cha…,Negative
24,2019-05-06,Watching Josh share screen w/Nicholas Brody Billions amazing,Positive
25,2019-05-05,@ Paul53085629 add list . Thanks !,Positive
26,2019-05-05,@ Paul53085629 Yes @ dollarsanddata light years ahead coding stuff,Positive
27,2019-05-05,@ Paul53085629 get numbers data provider ’ old school - build stuff excel,Positive
28,2019-05-05,@ davesizzle,Neutral
29,2019-05-05,@ buildmasterind Thanks !,Positive
30,2019-05-05,@ MJKobeFlocka Lol,Positive
31,2019-05-05,@ jfahmy mean like $ 98 change still ...,Negative
32,2019-05-05,@ ekhornung Screamin deal hot dogs,Positive
33,2019-05-05,greatest financial achievement 2019 walking out Costco today w/a tab under $ 100,Positive
34,2019-05-05,@ DunBiken Thanks !,Positive
35,2019-05-05,@ MikeZaccardi Nice,Positive
36,2019-05-05,Compounding Works Stock Market,Neutral
37,2019-05-05,@ TheHeidikins @ RitholtzWealth @ michaelbatnick @ ritholtz @ ReformedBroker @ ATeachMoment Thank !,Neutral
38,2019-05-05,@ RampCapitalLLC @ CNBC @ CNBCMakeIt lawyers advised refrain commenting terrible advice time,Negative
39,2019-05-05,"@ BarstoolBigCat ca n't believe still play mony , mony pro basketball games mean , billy idol really hyping guys up ?",Negative
40,2019-05-04,@ EconomPic stuff makes great background music,Positive
41,2019-05-04,actually pretty decent dad/CEO joke,Positive
42,2019-05-04,@ PourACupOfJoe Like . listen,Neutral
43,2019-05-04,@ ETFSalad True . think albums good way thru well,Positive
44,2019-05-04,New Vampire Weekend album decent . ’ say 9-10 good songs out 18 total ’ pretty good hit rate thes…,Positive
45,2019-05-04,@ RampCapitalLLC ’ gon na watch one,Neutral
46,2019-05-04,@ dougboneparth @ 15MinuteFA @ EconomPic @ daniel_egan,Neutral
47,2019-05-04,@ daniel_egan Ha grandfather boglehead ?,Neutral
48,2019-05-04,@ MarketPicker,Neutral
49,2019-05-04,@ nathanrutz Seen roasts . take look,Neutral
50,2019-05-04,RT @ RitholtzWealth : Investing Lessons Reigning Jeopardy Champ `` succeed today requires much intelligence . Almost ever…,Positive
51,2019-05-04,@ AZbadger03 Yeah thinking narcissistic Mitch hedberg,Neutral
52,2019-05-04,@ JeffBessling good profile ringer week much time puts,Positive
53,2019-05-04,@ RyanMetz could probably watch first half fact entire thing one liners impres…,Positive
54,2019-05-04,@ EconomPic @ billsweet @ RoccoLaCivita Weird Science one favorite movies 80s n't consider tha…,Neutral
55,2019-05-04,@ bllawson62 Definitely set tone . ’ good,Positive
56,2019-05-04,@ billsweet @ RoccoLaCivita forgot zodiac . may watch one,Neutral
57,2019-05-04,'m sure feel bad laughing jokes think Anthony Jeselnik sor…,Negative
58,2019-05-03,@ swathish Lol,Positive
59,2019-05-03,@ tlatocha Good call . Love movie,Positive
60,2019-05-03,@ ChrisGianoli,Neutral
61,2019-05-03,@ luxartonline would love see make indie movies,Positive
62,2019-05-03,underrated ones Kiss Kiss Bang Bang Guide Recognizing Saints,Neutral
63,2019-05-03,@ Bill36691842 Tuition right ?,Positive
64,2019-05-03,@ EconomPic ’ mean 90/60 ?,Negative
65,2019-05-03,progression value investor : 1 . ’ going next Buffett 2 . Ok hard . know ’ ju…,Positive
66,2019-05-03,@ slayercapital Hmmm well seems broad diversification knowledge ; ),Positive
67,2019-05-03,@ MasonRMcClellan Dammit . missed one ; ),Positive
68,2019-05-03,Investing Lessons Reigning Jeopardy ! Champ,Neutral
69,2019-05-03,@ kevin__177 would net fees taxes ... depends,Neutral
70,2019-05-03,@ markbeavercfp total return,Neutral
71,2019-05-03,RT @ TheCompoundNews : Buzzer Matters Much Answers Want Win,Positive
72,2019-05-03,@ RampCapitalLLC bitcoin replaces fiat currencies unemployment rate go negative . wait ...,Negative
73,2019-05-03,@ tpsarofagis,Neutral
74,2019-05-03,"@ ChefBlaser 5 years , 10 years 25-ish years time horizons . best way win argument mk…",Positive
75,2019-05-03,"3 charts , choose narrative : 1 . Buffett closet indexer 2 . Buffett lost touch 3 . give so…",Neutral
76,2019-05-03,@ WallStreetBean ’ compelling argument,Positive
77,2019-05-03,@ HardcoreValue Lol,Positive
78,2019-05-03,@ HardcoreValue Forgot one . worked out ?,Neutral
79,2019-05-03,@ ReformedBroker Sure ’ Sortino ratio ?,Positive
80,2019-05-03,@ JeffBessling @ michaelbatnick ’ airpods . ’ work w/my PC reason,Neutral
81,2019-05-03,@ slayercapital,Neutral
82,2019-05-03,wish Buffett would buy TSLA shares next see would lead first ever riot Twitter,Positive
83,2019-05-03,@ dukie38087 actually one PMs buying,Neutral
84,2019-05-03,Makes sense Amazon classic cigar butt Ben Graham stock,Positive
85,2019-05-02,@ michaelbatnick win bet w/you ’ know ? Maybe paper trading accts ?,Positive
86,2019-05-02,RT @ RitholtzWealth : 4 Overlooked Investment Decisions `` ’ able filter out majority bad stuff ’ going cause yo…,Negative
87,2019-05-02,@ BrandonJRiley @ toby_n take look . getting lot good recs,Positive
88,2019-05-02,@ jcarnoldsf @ michaelbatnick @ KarnesPaul @ ferventfinance @ jus10castelli ’ take up w/the chart crime committ…,Neutral
89,2019-05-02,@ MarketSqueeze @ michaelbatnick Looks great . ’,Positive
90,2019-05-02,@ RealJoshPhilipp Lol diversified ?,Positive
91,2019-05-02,@ dad_advisor @ michaelbatnick Screw grandkids ...,Neutral
92,2019-05-02,`` ’ tell color carpet bedroom. ” -Warren Buffett piece Munger designing…,Neutral
93,2019-05-02,@ joesmith323 Every portfolio decision active one . & amp ; P 500 made up committee selects stocks . goes,Negative
94,2019-05-02,@ michaelbatnick @ GregGuenthner Reminds,Neutral
95,2019-05-02,4 Overlooked Investment Decisions,Neutral
96,2019-05-02,@ michaelbatnick @ KarnesPaul @ ferventfinance @ jus10castelli ’ ring bell,Neutral
97,2019-05-02,economic expansion : 2010 : double dip coming 2011 : another recession underway 2012 : Fed out ammo 2…,Positive
98,2019-05-02,@ SilkyJ27,Neutral
99,2019-05-02,@ SchadenCap Makes sense . Got ta incentives,Neutral
100,2019-05-02,@ SchadenCap Adding queue,Neutral
101,2019-05-02,@ SapienzaNick @ AndrewMusbach Lots practice guess . also read writers far better,Positive
102,2019-05-02,@ RampCapitalLLC,Neutral
103,2019-05-02,@ jeff_gramm Milwaukee place ? heart skipped beat thinking,Neutral
104,2019-05-01,@ Lamonty3 @ michaelbatnick Send us email . Need characters,Neutral
105,2019-05-01,@ Lamonty3 @ michaelbatnick Equity sense assets - liabilities financial statements different thing,Neutral
106,2019-05-01,Looks like someone ’ follow Suzie Orman ’ advice expensive daily coffee habit,Negative
107,2019-05-01,@ AlgoBogeyman @ michaelbatnick interest checking ?,Neutral
108,2019-05-01,@ EconomPic Feels like authors podcast tour render reading book unnecessary,Negative
109,2019-05-01,@ EconomPic PMT today . Book sounds interesting,Positive
110,2019-05-01,Jerome Powell ppl said going force us recession December ( Arya inverted yield cu…,Neutral
111,2019-05-01,@ RampCapitalLLC Yes ’ called quarterly hedge fund letters,Neutral
112,2019-05-01,"RT @ AndrewMusbach : `` want secret path wealth , health , happiness . alternative — secret actually exists —…",Negative
113,2019-05-01,"@ dollarsanddata @ RampCapitalLLC One all-time favorite descriptions investing Simple Wealth , Inevitabl…",Positive
114,2019-05-01,@ gambitross ’ get specifics,Neutral
115,2019-05-01,@ CramersShirt Yes ’ got us hooked different ways,Neutral
116,2019-05-01,-Michael 's Avengers : End Game review -What 's worse -- clapping movie flight lands ? -Why I'm…,Negative
117,2019-05-01,@ dhenricksen Amusing Death Postman,Positive
118,2019-05-01,@ rohitmenon88 Thank !,Neutral
119,2019-05-01,@ pittore187 Googles 5 year return crashed way down 130 % yesterday ’ shellacking ; ),Positive
120,2019-05-01,@ l_stepan6,Neutral
121,2019-05-01,Tech stocks up tad over past 4 months market bottom remember - easy money mad…,Positive
122,2019-05-01,Animal Spirits Ep 79 : Remember Gchat ? discuss : -Why 's hard change opinion stocks -Why Ub…,Negative
123,2019-05-01,@ WBPetersen ’ sure could get eventually,Positive
124,2019-05-01,@ southpawLIII Yep,Neutral
125,2019-05-01,RT @ michaelbatnick : Monday ’ releasing first episode Turn Page,Positive
126,2019-05-01,@ AustinLieb Abe reading zip recruiter ads would ’ lit,Neutral
127,2019-05-01,@ bumperpickner,Neutral
128,2019-05-01,@ BrendanMullooly Yeah prescient book,Neutral
129,2019-05-01,@ ATeachMoment,Neutral
130,2019-05-01,guess ppl TV Internet existed,Neutral
131,2019-04-30,@ southpawLIII ’ discussed podcast . hard fast rules like idea upper band rebalancing,Negative
132,2019-04-30,@ CramersShirt Ugh ’ $ 2k,Neutral
133,2019-04-30,Took dog vet today silence sell May go away deafening,Neutral
134,2019-04-30,"RT @ RitholtzWealth : Things Said Bear Market `` truth one knows ’ going happen , especially over sh…",Neutral
135,2019-04-30,Excuse sir . know earn 2.25 % simple online savings account ?,Negative
136,2019-04-30,Things Said Bear Market,Neutral
137,2019-04-30,@ Csmyth1Conor data ?,Neutral
138,2019-04-30,@ danielsparks,Neutral
139,2019-04-30,Since start 2013 over 200 new all-time highs & amp ; P 500 's one new ATH every 8 days…,Positive
140,2019-04-30,Buffett ’ suited hedge fund mng look continued dampen expectations even part…,Neutral
141,2019-04-30,@ dawarravi hanging dear life,Neutral
142,2019-04-30,@ HlyCtyInvestor Epic,Positive
143,2019-04-30,", trying get conversation DVRing last night ’ Game Thrones & amp ; watching tonight",Negative
144,2019-04-29,@ aes8 Wednesday morning,Neutral
145,2019-04-29,@ EconomPic Lol,Positive
146,2019-04-29,@ EconomPic biggest tech hope kids social media slowly fades away morphs something else holding breath,Negative
147,2019-04-29,@ EconomPic Btw 8 new cell phone age ? Feels like needs rule book decisions,Positive
148,2019-04-29,: balance low Bank account : time travel housing affordable Bank account : go college…,Neutral
149,2019-04-29,@ vincezenner take look,Neutral
150,2019-04-29,Things ’ pretty sure ’ actually exist ppl made up argue Twitter : -MMT -Brexit -Bitcoin forks -Tesla,Positive
151,2019-04-29,@ CramersShirt Lenovo . ’ sure ’ workaround ’ get work,Positive
152,2019-04-29,@ CramersShirt . ’ sync w/my laptop reason,Neutral
153,2019-04-29,@ stephenhnelson Talking podcast week,Neutral
154,2019-04-29,@ acctgteach @ michaelbatnick Lol,Positive
155,2019-04-29,@ m_baig ’ keep pushing ...,Neutral
156,2019-04-29,Taping week 's Animal Spirits Michael explaining technical analysis using TSLA example He…,Neutral
157,2019-04-29,"RT @ RitholtzWealth : Believe Magic `` want secret path wealth , health , happiness . alternative — no…",Positive
158,2019-04-28,@ aes8 @ michaelbatnick like comparison,Neutral
159,2019-04-28,Believe Magic,Positive
160,2019-04-27,@ bennymarkets @ dougboneparth @ michaelbatnick prefer handmade sandwiches small plates ( opposed other…,Negative
161,2019-04-26,@ josephekolb Thanks !,Positive
162,2019-04-26,@ LamarJCole Lol bring,Positive
163,2019-04-26,@ DunBiken Thanks reading ! nice weekend,Positive
164,2019-04-26,Retire Stock Market Peak ?,Neutral
165,2019-04-26,@ jasonwstein Lol,Positive
166,2019-04-26,@ biancoresearch Like 34 ppl exist twitter,Neutral
167,2019-04-26,"'m starting think financial pundit promised recession already underway 2012 , 2013 , 2014 , 2015 , …",Neutral
168,2019-04-26,@ CasterAndy Check date bottom . Wrote last year,Neutral
169,2019-04-26,@ Sourboysam Double digit savings rate better majority population,Positive
170,2019-04-25,@ iancassel Drinks pool strategy w/double liquidity,Neutral
171,2019-04-25,@ ToddWenning @ RampCapitalLLC Agreed,Neutral
172,2019-04-25,@ RampCapitalLLC Favorite song movie ? kids partial lately,Positive
173,2019-04-25,@ RampCapitalLLC *best soundtrack,Positive
174,2019-04-25,@ jbrendanfrazier Good idea . Check back tomorrow something similar may try one,Positive
175,2019-04-25,@ billrice Fyre Festival coordinator,Neutral
176,2019-04-25,RT @ RitholtzWealth : Hard Become 401 ( k ) Millionaire ? `` Consistently saving money relatively young age over time ma…,Positive
177,2019-04-25,First 5 jobs : 1 . Influencer 2 . Meme generator 3 . Life hack guru 4 . Keynote speaker 5 . Crossfitter Bonus : foodie s…,Positive
178,2019-04-25,@ John_v_Dwyer Look bottom originally written,Positive
179,2019-04-25,@ NoGimmicksNutri Sure guess ’ true w/a lot things financial matters,Positive
180,2019-04-25,Hard Become 401k Millionaire ?,Negative
181,2019-04-25,@ francisorlando Strong buy . Feels like Caribbean resort FL . Beautiful,Positive
182,2019-04-25,@ AdmasG Lol Canadian side hustle,Positive
183,2019-04-25,@ kadeloren,Neutral
184,2019-04-24,@ shorn201 cool place,Positive
185,2019-04-24,@ parkerantoine Beautiful,Positive
186,2019-04-24,@ justinisreal @ RampCapitalLLC First kids vacation,Positive
187,2019-04-24,@ Mike_Armenteros Everything . Place sweet,Positive
188,2019-04-24,@ cardude01 Omg Dwight Schrute make up ?,Neutral
189,2019-04-24,@ RampCapitalLLC Hot dogs legs ? decide,Positive
190,2019-04-24,Miami Vice Vanguard Balanced Fund poolside drinks 60 % wishes pina colada th…,Neutral
191,2019-04-24,@ ReformedBroker Judge Dredd make ?,Neutral
192,2019-04-24,@ m_farda @ michaelbatnick like encore . may poll w/the best ones,Positive
193,2019-04-24,@ everybestof Book club pretty good . add mix,Positive
194,2019-04-24,@ guildrysantana @ michaelbatnick take look,Neutral
195,2019-04-24,@ longwalkwputter @ michaelbatnick bad,Negative
196,2019-04-24,@ AvgJoeTrade Thanks !,Positive
197,2019-04-24,@ A_Thompson1776 Thank . Makes sense audience,Neutral
198,2019-04-24,@ eervin1 @ 15MinuteFA @ Greenbackd say ? ’ take,Neutral
199,2019-04-24,week talked money works marriages,Neutral
200,2019-04-24,@ csupp Back pages good . Like,Positive
201,2019-04-24,@ letsplay2of3 new . author ?,Positive
202,2019-04-24,Animal Spirits Ep 78 : Re-Readables discuss : -Is inflation dead ? -Our new podcast idea -Eliminating student…,Negative
203,2019-04-24,@ Alex__Salomon @ michaelbatnick Counterpoint : get pizza Little Caesar ’ $ 5.55 . Inflation-adjusted p…,Negative
204,2019-04-24,@ ChrisHHowell @ michaelbatnick Thanks Chris !,Positive
205,2019-04-24,@ southpawLIII ’ hit next show,Neutral
206,2019-04-23,"RT @ christine_benz : `` [ ] top 10 % households 84 % stock market , up 77 % early-2000s . '' Let sink fo…",Positive
207,2019-04-23,@ dollarsanddata 's nothing wrong w/giving $ advice high earners 'm w/you 's disingenuous pre…,Negative
208,2019-04-23,Personal finance easy : *track spending *cut back unnecessary purchases *make shampoo ... oh yea…,Positive
209,2019-04-23,3 Levels Wealth,Neutral
210,2019-04-23,@ mitch_mcmonigle @ TheStalwart @ MebFaber Meb ’ tweetstorm exceptions list,Neutral
211,2019-04-23,@ emptymiddle @ cullenroche @ morganhousel,Neutral
212,2019-04-22,every time fly could retire shy 258 years,Positive
213,2019-04-22,@ TheStalwart Tweet storm rule thumb : one reads past 3rd 4th tweet longer smarter ppl assume must,Negative
214,2019-04-22,@ s1gins @ michaelbatnick data . let take look . come back,Neutral
215,2019-04-22,@ parkerantoine Life hack : need watch shows anymore,Neutral
216,2019-04-22,Old stat : hedge funds operation Taco Bell ’ New stat : Game Throne…,Negative
217,2019-04-22,People averaged 11 hours week laundry 1920s people today complain BUSY b/c have…,Positive
218,2019-04-22,@ NickBoguth Good one,Positive
219,2019-04-22,RT @ RitholtzWealth : Bad Year Bond Market Bad Day Stock Market `` idea bad year stock market bad…,Negative
220,2019-04-22,@ HutchCPA_I like books better show good first couple seasons,Positive
221,2019-04-21,@ PolarisCapMgmt Hmmm tried ...,Neutral
222,2019-04-21,@ brosen23 ’ b/c hide ones,Neutral
223,2019-04-21,signal ’ spring time Michigan,Neutral
224,2019-04-21,@ RyanMGavin @ michaelbatnick good topic,Positive
225,2019-04-21,@ aes8 never said ’ like wire . ’ easily top 10 time . automatic goat,Positive
226,2019-04-21,@ abarrallen Yeah depends time horizon,Neutral
227,2019-04-21,@ _SidVerma ’ watched one yet . give shot,Neutral
228,2019-04-21,Bad Year Bond Market Bad Day Stock Market,Negative
229,2019-04-21,@ petesfg Sundays loaded,Neutral
230,2019-04-21,@ Matt_Krier funny,Positive
231,2019-04-21,’ acquired taste Barry ( HBO ) one best shows right Alternates hilarious dark Bill Hader man,Positive
232,2019-04-21,@ jcboxlot must someone else .,Neutral
233,2019-04-21,@ Foxxman57 Hilarious music gets going,Positive
234,2019-04-21,Today learned daughter likes jamming out Nirvana someone grew up 90s music makes irrati…,Neutral
235,2019-04-20,Bernstein one investing heroes ’ probably learned investing & amp ; finance anyone…,Neutral
236,2019-04-20,RT @ RitholtzWealth : Strange Round Trip ’ `` ’ hard believe quickly sentiment market go “ world i…,Negative
237,2019-04-20,@ ReformedBroker Check out recent interview Freakonomics pod . made want stock based alone . ’ impressive,Positive
238,2019-04-19,@ aHyerPower best special amazing,Positive
239,2019-04-19,@ kylet___ @ Nonrelatedsense Read book everybody lies,Neutral
240,2019-04-19,@ RealLifeRentals Ppl lie surveys,Neutral
241,2019-04-19,running worst surveys year Rich ppl also tell read lot ppl buy…,Negative
242,2019-04-19,@ DunBiken Thank !,Neutral
243,2019-04-19,@ kancancook Hands down,Negative
244,2019-04-19,@ dannybzak Makes sense higher vol higher valuations,Positive
245,2019-04-19,@ SBarlow_ROB Good list,Positive
246,2019-04-19,@ killercankles Good ones . Matt Foley up,Positive
247,2019-04-19,discussion greatest SNL skit all-time,Positive
248,2019-04-19,@ cardude01 yes see :,Neutral
249,2019-04-19,Strange Round Trip 's,Negative
250,2019-04-19,@ jposhaughnessy @ dollarsanddata ’ pull off white white look like nick,Neutral
251,2019-04-18,@ RyanDraycott asset prices goods services,Neutral
252,2019-04-18,@ 15MinuteFA minor period deflation,Negative
253,2019-04-18,idea make chart inflation seems like 's something everyone ( Fed love…,Neutral
254,2019-04-18,Recessions vs. Bear Markets,Neutral
255,2019-04-18,@ LarissaMVLopez,Neutral
256,2019-04-18,RT @ RitholtzWealth : Recessions vs. Bear Markets `` humans like look things relative terms . ’ matter economy i…,Neutral
257,2019-04-18,@ jimiuorio,Neutral
258,2019-04-18,@ danielfuqua CFA,Neutral
259,2019-04-18,@ danielfuqua take . Good luck !,Positive
260,2019-04-18,financial news organization write headline like following ... Stocks up/down/little changed inve…,Neutral
261,2019-04-18,@ brianportnoy Nice headline,Positive
262,2019-04-18,@ morganhousel @ AustinLieb @ zoom_us @ jasonzweigwsj CUBA etf another good one,Positive
263,2019-04-18,@ ShelbyGrosch Got nice bump probably big ’ expect . ppp probably read headline moved,Positive
264,2019-04-18,@ Legal_Investor like founding fathers wanted,Neutral
265,2019-04-18,think 'm excited release Mueller report fact ppl Twitter go into…,Positive
266,2019-04-18,@ A_Thompson1776 ’ done episodes called,Neutral
267,2019-04-18,@ A_Thompson1776 next talk book ...,Neutral
268,2019-04-17,@ MrCodyWeston @ business Knew something would come up,Neutral
269,2019-04-17,@ kczat think . Hard buy stocks rising ( even tho momentum tends work ),Negative
270,2019-04-17,@ RTMoseley @ michaelbatnick,Neutral
271,2019-04-17,@ CramersShirt got nothin . Think still may buy,Neutral
272,2019-04-17,@ parkerantoine Thanks !,Positive
273,2019-04-17,'s story Michael almost burned down backyard like 4 days becoming homeowner,Positive
274,2019-04-17,@ mikedariano listened . Eddie Murphy analogy thing wrote,Neutral
