,Unnamed: 0,created_date,tweets,sentiment
0,0,2019-05-06,RT @ TheStreet : man constantly stresses importance market legwork home confession : dog ( literally ) ate…,Neutral
1,1,2019-05-06,Wow ... Johnny Cash -- Live Folsom -- fabulous that..How album show women 's prison ! ! !,Positive
2,2,2019-05-06,n't worry another train right around bend,Positive
3,3,2019-05-06,Beyond Meat heads . course Chowderhead esteemed lamented Moe,Neutral
4,4,2019-05-06,Lovin Funko dolls ! ! !,Neutral
5,5,2019-05-06,Okay heck shorted Beyond Meat overrun . chowderheads,Positive
6,6,2019-05-06,RT @ TheStreet : . @ JimCramer 's takeaway Berkshire 's annual meeting ? 's good Warren Buffett comes $ OXY $ APC :,Positive
7,7,2019-05-06,got right !,Positive
8,8,2019-05-06,RT @ realmoney : may think President @ realDonaldTrump clueless tariffs work . @ jimcramer willing bet Trump knows t…,Positive
9,9,2019-05-06,RT @ TheStreet : importance portfolio management never clear market like . Learn tips trade @ Jim…,Negative
10,10,2019-05-06,RT @ TheStreet : pro-golfer @ bubbawatson make big bet CBD ? Full interview @ cbdmd_usa :,Positive
11,11,2019-05-06,RT @ TheStreet : focus $ NVDA day like ? @ JimCramer talk 's Nvidia 's China exposure effect could @ RealMo…,Neutral
12,12,2019-05-06,"RT @ TheStreet : case , maybe n't time follow Buffett 's footsteps . @ JimCramer says use down market opportunity b…",Negative
13,13,2019-05-06,RT @ TheStreet : choice Iron Throne Wall Street ? # GameofThrones parody :,Neutral
14,14,2019-05-06,RT @ TheStreet : n't expect tariff headline go anywhere . 's @ JimCramer thinks @ realDonaldTrump playing long game.…,Negative
15,15,2019-05-06,RT @ TheStreet : market feeling art deal ? @ TFMkts breaks down Fed tweet may heard mean Wa…,Negative
16,16,2019-05-06,"RT @ _Will_Bridges_ : @ carlquintanilla @ jimcramer @ CNBC agree Mr. Cramer . Boil issue down 's core , sid…",Negative
17,17,2019-05-06,RT @ TheStreet : 1 . Trump tweets 2 . Markets slump 3 . @ JimCramer @ markatRoss LIVE 10 ET break down investors need n…,Negative
18,18,2019-05-06,'s good right ... thank ...,Positive
19,19,2019-05-06,RT @ MorganLBrennan : Amid trade escalation : @ DeptofDefense 's 136-pg report Congress China 's military & amp ; security developments must-…,Negative
20,20,2019-05-06,Stock Day ! ! !,Neutral
21,21,2019-05-06,"RT @ BretKenwell : @ jimcramer news well timed traders , 's little question US operating position str…",Negative
22,22,2019-05-06,"RT @ carlquintanilla : `` 'm gon na say something everyone disagree : . n't . Need . . Right . . '' - @ jimcramer , US/Chi…",Positive
23,23,2019-05-06,"could strong , , part critical reasoning essay",Positive
24,24,2019-05-06,RT @ TheStreet : Reminder @ JimCramer : Selloffs market corrections like rain . Expect open umbrella :,Neutral
25,25,2019-05-06,necessarily,Neutral
26,26,2019-05-06,Goldman could raise fast $ OXY- $ APC -- $ TSLA -- Occidental paying way much..,Positive
27,27,2019-05-06,RT @ davidfaber : Today,Neutral
28,28,2019-05-06,go ! ! ! ! ! ! ! ! @ SquawkStreet,Neutral
29,29,2019-05-06,RT @ TheStreet : already forgotten Friday different day ? @ hmeisler takes charts :,Neutral
30,30,2019-05-06,promised ... .,Neutral
31,31,2019-05-06,RT @ DougKass : @ realmoney Trading opportunistically using volatility advantage . Moved Large Sized short Indices Small-Medi…,Positive
