,created_date,tweets,sentiment
0,2019-05-06,@ WouterCreemers1 @ carp666 Maybe 's deaccessioned library copy .,Neutral
1,2019-05-06,Putin Punches Weight,Neutral
2,2019-05-06,RT @ RobinWigg : SOY B E N,Neutral
3,2019-05-06,'s official : People desperate something believe .,Negative
4,2019-05-06,Elizabeth Winston Winston Elizabeth,Neutral
5,2019-05-06,"surprised many books Johnson Boswell ( , , fan , n't realize h…",Positive
6,2019-05-06,"RT @ PP_Rubens : low room over church doors , overlooking city , Mary hears remarkable news . exterior Ghent Alt…",Positive
7,2019-05-06,RT @ mjmauboussin : Lots good lessons interview h/t @ b3_millervalue,Positive
8,2019-05-06,new podcast series : Value Investing Legends | Heilbrunn Center Graham & amp ; Dodd Investing Columbia B…,Positive
9,2019-05-06,@ peanutbr1ttle Nope !,Neutral
10,2019-05-06,Black White : Uncovering Racial Bias Systematically Masked Police Reports @ SSRN,Negative
11,2019-05-06,"ca n't read Spanish , smell # chartcrime languages",Neutral
12,2019-05-06,President Trump weighs disputed Kentucky Derby . Welcome sports 2019 . think ’ gone…,Positive
13,2019-05-06,"@ jtempkin Great ! n't let books list one side , though . Bad spine",Positive
14,2019-05-06,"'s huge admirer Henry Singleton , calls `` smartest businessman ever knew . ''",Positive
15,2019-05-06,", although n't get ask , idea likes Meacham biography Jefferson , disliked acutely",Positive
16,2019-05-06,", , ca n't become Charlie Munger reading books : - )",Positive
17,2019-05-06,little startled see many books also cherish ( sometimes edition ! ),Positive
18,2019-05-06,"popular demand , couple snapshots many books Charlie Munger 's many shelves",Positive
19,2019-05-06,"Hard-line sentiment China growing , Washington Beijing negotiate trade deal",Neutral
20,2019-05-06,Thanks !,Positive
21,2019-05-06,"Dodd-Frank forced banks hold billions dollars reserve . , found way free up cash.…",Positive
22,2019-05-06,"RT @ PTetlock : trick thickening skin without closing minds . need bit probability theory . audience grows , d…",Neutral
23,2019-05-06,compliation : Charlie Munger,Neutral
24,2019-05-05,"Mueller Lite : Reads great , less filling",Positive
25,2019-05-05,RT @ jbarro : China n't pay tariffs . American consumers pay tariffs .,Neutral
26,2019-05-05,Nudge good ( cc @ R_Thaler ),Positive
27,2019-05-04,Howard Buffett looks beyond Oracle advice,Neutral
28,2019-05-04,@ justinspratt 'm sorry . ask someone look .,Negative
29,2019-05-04,,Neutral
30,2019-05-04,@ RaheelAkhtar77 's latest edition point . Thanks !,Positive
31,2019-05-04,compilation,Neutral
32,2019-05-04,video Buffett gender imbalance professional investment management :,Positive
33,2019-05-04,still another favorite riff full transcript six-hour interview Charlie Munger…,Positive
34,2019-05-04,'s another favorite riffs full transcript six-hour interview Charlie Munger…,Positive
35,2019-05-04,still another favorite riffs full transcript six-hour interview Charlie Munger…,Positive
36,2019-05-04,yet another one favorite riffs full transcript six-hour interview Charlie Munger…,Positive
37,2019-05-04,another favorite riffs full transcript six-hour interview Charlie Munger…,Positive
38,2019-05-04,one favorite riffs full transcript six-hour interview Charlie Munger…,Positive
39,2019-05-04,RT @ ReformedBroker : cool - Warren Buffett made surprise appearance women ’ investing conference happening across town fr…,Positive
40,2019-05-04,@ arleyryan,Neutral
41,2019-05-04,"clarify , folks : •is• full transcript .",Positive
42,2019-05-04,@ DaveNadig,Neutral
43,2019-05-04,"ICYMI : Charlie Munger , Unplugged — best epic six-hour interview investing giant",Positive
44,2019-05-04,", like , 9 10,000 words long .",Negative
45,2019-05-04,'s running,Neutral
46,2019-05-04,Charlie Munger Unplugged : best epic six-hour interview investing legend,Positive
47,2019-05-03,Buffett Inverse Emotionalism,Neutral
48,2019-05-03,RT @ TheAdamJEpstein : Apparently Charlie Munger ’ say memorable things capital markets . today ’ great ⁦ @ WSJ⁩ piece by…,Positive
49,2019-05-03,,Neutral
