,created_date,tweets,sentiment
0,2018-08-22,Holding $ FB . moving up . showing bullish signals .,Neutral
1,2017-10-15,"RT @ letsinvestnow : $ BZUN Falling wedge breakout 50DMA support , Curling MACD increasing volume . Looks good",Positive
2,2017-10-15,RT @ pbrat40plus : $ BABA $ JD $ TCEHY & amp ; $ WUBA amongst # TechStocks Asia # Traders & amp ; # Investors Need Watch & gt ; & gt ; & gt ; & gt ;,Neutral
3,2017-09-27,RT @ GodlessTrading : $ KEM added & amp ; P 600 Small Cap,Negative
4,2017-08-23,RT @ LibsNoFun : Democrat Party go . # RootOutRacism,Neutral
5,2017-08-23,RT @ LibsNoFun : Thank goodness someone high standards # RootOutRacism,Positive
6,2017-08-19,5 Stocks BUY AUGUST 2017 | Top 5 Stocks,Positive
7,2016-11-10,`` America Elects Bigot '' `` America Elects Bigot '',Neutral
8,2016-11-10,RT @ belleartiste : Thank Trump # ThankObamaIn4Words,Neutral
9,2016-11-09,RT @ stockroads : # ElectionNight,Neutral
10,2016-11-06,RT @ Comfynumb15 : # CNNSOTU # SundayMorning 's great story wo n't hear @ CNN # CorruptMedia,Positive
11,2016-11-05,RT @ 1MrsOpinionated : `` Clinton Rebounds '' sad society ! 's broken ! amazes people ignore ! # NeverHillary MY…,Negative
12,2016-11-04,RT @ glennbeck : Conservative Darryl Glenn Relentlessly Pursues US Senate Seat Colorado,Neutral
13,2016-11-03,RT @ Jesus2Come : @ KevinBarryCBS2 @ timkaine THINK DANNA BRAZILE GET PEOPLE THAT. # ImWithTur,Neutral
14,2016-11-02,"RT @ SumOfChoices : Democrats - know Destruction , Destroying Things , Paying People Incite Violence & amp ; Destroy…",Negative
15,2016-11-02,RT @ murphycharlie78 : Vote Trump MAGA . Huge crowd Miami today 🇺🇸🇺🇸🇺🇸,Positive
16,2016-11-02,RT @ marietweetss : # TrumpFBIcodeName # CrookedHillary # NeverHillary # ClintonFoundation # WikiLeaks # PodestaEmails # Veritas # VoteForChange # Tru…,Neutral
17,2016-11-01,RT @ ShillForHillary : # FBISongs Breakin Law,Neutral
18,2016-11-01,RT @ AndrewKenniston : # VoteSmart # MakeAmericaGreatAgain # HillaryForPrison,Neutral
19,2016-11-01,`` Investigating Donald Trump '',Neutral
20,2016-10-31,# hillaryforprison Peter Thiel FULL Speech Supporting Trump National Press Club - Octobe ...,Positive
21,2016-10-31,RT @ Stevenwhirsch99 : fired . prison # Hillary . # HillaryForPrision # LockHerUp,Neutral
22,2016-10-31,Drain Swamp # TrumpPence16 # hillaryforprision,Neutral
23,2016-10-31,RT @ elijemma : # StrongerTogether # HillaryForPrision,Neutral
24,2016-10-31,"RT @ Rayz2cents : Happy Halloween Hillary , Weiners & amp ; Clinton Inc. # HillaryForPrision # TrumpTrain # Trump # MAGA",Positive
25,2016-10-31,"RT @ TheRealPest : Twitter censors correct spelling people using # HillaryForPrision , libs n't understand trends a…",Neutral
26,2016-10-28,Nixon choirboy compared evil Hillary `` James Comey '',Negative
27,2016-10-28,"RT @ ScottPresler : October Surprise 've waiting . November Surprise Hillary 's `` lost '' 33,000 emails . # FBI…",Neutral
28,2016-10-28,`` James Comey '' FBI take new ‘ investigative steps ’ Clinton emails,Positive
29,2016-10-28,RT @ DiCristo13 : @ SebGorka strategist . Twitter putting up # NationalChocolateDay make # FBI reopening Clinton investigation…,Neutral
30,2016-10-28,`` James Comey '',Neutral
31,2016-10-28,Liberals still shock ... .They post meds kick ... LOL ... ... ... `` James Comey '',Positive
32,2016-10-26,"Probiotics Benefits , Foods Supplements",Neutral
33,2016-10-20,RT @ SafariWoman : # SuchANastyWoman # debatenight # NeverHillary # CrookedHillary # HillaryForPrison,Neutral
34,2016-10-17,Want Make Money ? Understand Money Works ! 's Complete Guide .,Positive
35,2016-10-14,"RT @ DodgerBlue1958 : Jansen strikes out Rendon 21st pitch inning . # Dodgers take 4-3 lead eighth . Breathe , everyone.…",Neutral
36,2016-09-24,"RT @ _Makada_ : Another shooting gun free zone , time Burlington , WA . Murderers love gun free zones ! # CascadeMall",Positive
37,2016-09-18,# chelseanyc,Neutral
38,2016-09-18,,Neutral
39,2016-09-18,RT @ AmericanVoterUS : Patriotic democrats coming HOME ! Americans welcome # TrumpTrain @ realDonaldTrump # ChelseaNYC htt…,Positive
